unable_to_generate_otp,We could not generate an OTP for this phone number. Please check the number or try again later.,এই ফোন নম্বৰৰ বাবে আমি OTP সৃষ্টি কৰিব পৰা নাছিলো। অনুগ্ৰহ কৰি নম্বৰটো পৰীক্ষা কৰক বা পিছত পুনৰ চেষ্টা কৰক।,আমরা এই ফোন নাম্বার এর জন্য কোনো OTP তৈরি করতে পারছি না। অনুগ্রহ করে নাম্বারটি যাচাই করুন অথবা পরে আবার চেষ্টা করুন।,No pudimos generar una OTP para este número de teléfono. Por favor verifique el número o vuelva a intentarlo más tarde.,અમે આ ફોન નંબર પર OTP જનરેટ કરી શકતા નથી મહેરબાની કરી તમારો નંબર ચકાસો અથવા ફરીથી પ્રયત્ન કરો,हम इस फ़ोन नंबर के लिए OTP जनरेट नहीं कर सके। कृपया नंबर जांचें या बाद में पुनः प्रयास करें।,ಈ ದೂರವಾಣಿ ಸಂಖ್ಯೆಗೆ OTP ಅನ್ನು ರಚಿಸಲು ನಮಗೆ ಸಾಧ್ಯವಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ಸಂಖ್ಯೆಯನ್ನು ಪರಿಶೀಲಿಸಿ ಅಥವಾ ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,ഈ ഫോൺ നമ്പറിനായി ഞങ്ങൾക്ക് OTP സൃഷ്ടിക്കാൻ കഴിഞ്ഞില്ല.നമ്പർ പരിശോധിക്കുക അല്ലെങ്കിൽ പിന്നീട് വീണ്ടും ശ്രമിക്കുക.,आम्ही या फोन नंबरसाठी OTP जनरेट करू शकलो नाही. कृपया नंबर तपासा किंवा नंतर पुन्हा प्रयत्न करा.,ଏହି ଫୋନ୍ ନମ୍ବର ପାଇଁ ଆମେ OTP ସୃଷ୍ଟି କରିପାରିଲୁ ନାହିଁ। ଦୟାକରି ନମ୍ବରକୁ ଯାଞ୍ଚ କରନ୍ତୁ କିମ୍ବା ପରେ ପୁନର୍ବାର ଚେଷ୍ଟା କରନ୍ତୁ।,ਅਸੀਂ ਇਸ ਫੋਨ ਨੰਬਰ ਲਈ OTP ਨਹੀਂ ਬਣਾ ਸਕੇ। ਕਿਰਪਾ ਕਰਕੇ ਨੰਬਰ ਦੀ ਜਾਂਚ ਕਰੋ ਜਾਂ ਬਾਅਦ ਵਿੱਚ ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ।,இந்த தொலைபேசி எண்ணுக்கு OTP ஐ உருவாக்க முடியவில்லை.எண்ணை சரிபார்க்கவும் அல்லது பின்னர் மீண்டும் முயற்சிக்கவும்.,మేము ఈ ఫోన్ నంబర్ కు OTP ని పంపించలేకపోయాము. దయచేసి నంబర్‌ని తనిఖీ చేయండి లేదా తర్వాత మళ్ళీ ప్రయత్నించండి.,हमनी के एह फोन नंबर खातिर OTP ना बना पवनी जा। कृपया नंबर चेक करीं आ बाद में फेर से कोशिश करीं.,Chinga ia phone numberna OTP ko bikotna man·jaenga. Ka·sapae numberko name nitaibo ba ja·mano dake nitaibo
change_phone_number,Change phone number,ফোন নম্বৰ সলনি কৰক,ফোন নাম্বার বদলান।,Cambiar el número de teléfono,ફોન નંબર બદલો,फ़ोन नंबर बदलें,ದೂರವಾಣಿ ಸಂಖ್ಯೆಯನ್ನು ಬದಲಾಯಿಸಿ,ഫോൺ നമ്പർ മാറ്റുക,फोन नंबर बदला,ଫୋନ୍ ନମ୍ବର ବଦଳାନ୍ତୁ,ਫੋੋਨ ਨੰਬਰ ਬਦਲੋ,தொலைபேசி எண்ணை மாற்றவும்,ఫోన్ నంబర్ మార్చండి,मोबाइल नम्बर बदली,Phone number-ko bodolbo
continue_,Continue,অব্যাহত ৰাখক,ক্রমাগত চালান,Continuar,ચાલુ રાખો,जारी रखें,ಮುಂದುವರಿಸಿ,തുടരുക,सुरु ठेवा,ଜାରି ରଖିବା,ਜਾਰੀ ਰੱਖੋ,தொடரவும்,కొనసాగించండి,जारी रखी,Dakangkubo
found_users,You have previously registered using this phone number.,আপুনি পূৰ্বে এই ফোন নম্বৰ ব্যৱহাৰ কৰি পঞ্জীয়ন কৰিছে।,পূর্বে আপনি এই ফোন নাম্বার দ্বারা রেজিস্টার করেছেন,Usted se ha registrado previamente utilizando este número de teléfono.,તમે પહેલા આ દાખલ કરેલ ફોન નંબરનો ઉપયોગ કરેલ છે,आपने पहले इस फ़ोन नंबर का उपयोग करके पंजीकरण कराया हैं।,ಈ ಫೋನ್ ಸಂಖ್ಯೆಯನ್ನು ಬಳಸಿಕೊಂಡು ನೀವು ಈ ಹಿಂದೆ ನೋಂದಾಯಿಸಿರುವಿರಿ.,ഈ ഫോൺ നമ്പർ ഉപയോഗിച്ചാണ് നിങ്ങൾ മുമ്പ് രജിസ്റ്റർ ചെയ്തത്.,तुम्ही या फोन नंबरचा वापर करून यापूर्वी नोंदणी केली आहे.,ଆପଣ ପୂର୍ବରୁ ଏହି ଫୋନ ନମ୍ବରକୁ ବ୍ୟବହାର କରି ପଞ୍ଜିକରଣ କରି ସାରିଛନ୍ତି ,ਤੁਸੀਂ ਪਹਿਲਾਂ ਇਸ ਫੋਨ ਨੰਬਰ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਰਜਿਸਟਰ ਕੀਤਾ ਹੈ।,இந்த தொலைபேசி எண்ணைப் பயன்படுத்தி நீங்கள் முன்பே பதிவு செய்துள்ளீர்கள்.,మీరు ఇంతకుముందే ఈ ఫోన్ నంబర్‌ని ఉపయోగించి నమోదు చేసుకున్నారు.,रउरा पहिले एह फोन नंबर के इस्तेमाल करत रजिस्ट्रेशन करा चुकल बानी.,Na·a skangon ia number-ko jakkale register ka·manaha
select_user,Select a user to continue.,অব্যাহত ৰাখিবলৈ এগৰাকী ব্যৱহাৰকাৰী বাছনি কৰক।,ক্রমাগত চালিয়ে যাওয়ার জন্যে একজন ব্যবহারকারিকে নির্বাচন করুন।,Seleccione una usuario para continuar,ચાલુ રાખવા માટે વપરાશકર્તાને પસંદ કરો,जारी रखने के लिए एक यूज़र चुनें।,ಮುಂದುವರೆಯಲು ಬಳಕೆದಾರರನ್ನು ಆಯ್ಕೆಮಾಡಿ.,തുടരാനായി ഒരു യൂസറെ തിരഞ്ഞെടുക്കുക.,सुरू ठेवण्यासाठी युजर निवडा.,ଆଗକୁ ବଢ଼ିବା ପାଇଁ ବ୍ୟବହାରକାରୀ ବାଛନ୍ତୁ।,ਜਾਰੀ ਰੱਖਣ ਲਈ ਉਪਭੋਗਤਾ ਦੀ ਚੋਣ ਕਰੋ।,தொடர ஒரு பயனரைத் தேர்ந்தெடுக்கவும்.,కొనసాగించడానికి వినియోగదారుని ఎంచుకోండి.,जारी रखे खातिर कवनो प्रयोगकर्ता के चयन करीं।,Continue ka·na gita saksa user-ko basebo
consent_title,Terms & Conditions,চৰ্ত আৰু নিয়মসমূহ,শর্তাবলী,Términos y condiciones,નિયમો અને શરતો,नियम एवं शर्तें,ನಿಯಮ ಮತ್ತು ಶರತ್ತುಗಳು,ഉപാധികളും നിബന്ധനകളും,अटी व शर्ती,ସର୍ତ୍ତାବଳୀ ଓ ନିୟମାବଳୀ,ਨਿਯਮ ਅਤੇ ਸ਼ਰਤਾਂ,விதிமுறைகளும் நிபந்தனைகளும்,నిబంధనలు మరియు షరతులు,अवधि आ शर्त के बारे में बतावल गइल बा,Terms aro condition-rang
accept,Accept,গ্ৰহণ কৰক,গ্রহণ করুন,Aceptar,સ્વીકારો,स्वीकार करें,ಒಪ್ಪಿಕೊಳ್ಳಿ,സ്വീകരിക്കുക,स्वीकारा करा,ଗ୍ରହଣ କରନ୍ତୁ ,ਸਵੀਕਾਰ ਕਰੋ,ஏற்றுக்கொள்,అంగీకరించు,स्वीकार करी,Ra·chaka
reject,Reject,নাকচ কৰক,বাতিল করুন,Rechazar,અસ્વીકાર,अस्वीकार करें,ತಿರಸ್ಕರಿಸಿ,നിരസിക്കുക,नकार द्या,ରିଜେକେଟ କରନ୍ତୁ ,ਅਸਵੀਕਾਰ ਕਰੋ,நிராகரிக்கவும்,తిరస్కరించు,नामंजूर करीं,Jegala
profile,Profile,প্ৰফাইল,প্রোফাইল,Perfil,પ્રોફાઇલ,प्रोफ़ाइल,ಪ್ರೊಫೈಲ್,പ്രൊഫൈൽ,प्रोफाइल,ପ୍ରୋଫାଇଲ୍‌,ਪ੍ਰੋਫਾਈਲ,சுயவிவரம்,ప్రొఫైల్,प्रोफाइल,Profile
assistant_profile_msg,"To continue using the Karya App, please complete your user profile by answering these questions.",কাৰ্য এপ ব্যৱহাৰ কৰা অব্যাহত ৰাখিবলৈ এই প্ৰশ্নকেইটাৰ উত্তৰ দি আপোনাৰ ব্যৱহাৰকাৰীৰ প্ৰফাইল সম্পূৰ্ণ কৰক।,"Karya অ্যাপ ব্যবহার চালিয়ে যেতে, এই প্রশ্নগুলির উত্তর দিয়ে আপনার ব্যবহারকারী প্রোফাইল সম্পূর্ণ করুন।",,"Karya એપ્લિકેશનનો ઉપયોગ ચાલુ રાખવા માટે, કૃપા કરીને આ પ્રશ્નોના જવાબ આપીને તમારી વપરાશકર્તા પ્રોફાઇલ પૂર્ણ કરો.","Karya ऐप का उपयोग जारी रखने के लिए, कृपया इन सवालों के जवाब देकर अपना यूज़र प्रोफ़ाइल पूरा करें।","ಕಾರ್ಯ ಅಪ್ಲಿಕೇಶನ್ ಬಳಸುವುದನ್ನು ಮುಂದುವರಿಸಲು, ದಯವಿಟ್ಟು ಈ ಪ್ರಶ್ನೆಗಳಿಗೆ ಉತ್ತರಿಸುವ ಮೂಲಕ ನಿಮ್ಮ ಬಳಕೆದಾರರ ಪ್ರೊಫೈಲ್ ಅನ್ನು ಪೂರ್ಣಗೊಳಿಸಿ","Karya ആപ്പ് ഉപയോഗിക്കുന്നത് തുടരാൻ, ഈ ചോദ്യങ്ങൾക്ക് ഉത്തരം നൽകി നിങ്ങളുടെ യൂസർ പ്രൊഫൈൽ പൂർത്തിയാക്കുക.","Karya ॲप वापरणे सुरू ठेवण्यासाठी, कृपया या प्रश्नांची उत्तरे देऊन तुमचे युजर प्रोफाइल पूर्ण करा.","Karya ଆପ୍‌ ବ୍ୟବହାର ଜାରି ରଖିବା ପାଇଁ, ଦୟାକରି ଏହି ପ୍ରଶ୍ନଗୁଡ଼ିକର ଉତ୍ତର ଦେଇ ନିଜ ପ୍ରୋଫାଇଲ୍‌ ପୂରା କରନ୍ତୁ।","Karya ਐਪ ਦੀ ਵਰਤੋਂ ਜਾਰੀ ਰੱਖਣ ਲਈ, ਕਿਰਪਾ ਕਰਕੇ ਇਨ੍ਹਾਂ ਸਵਾਲਾਂ ਦੇ ਜਵਾਬ ਦੇ ਕੇ ਆਪਣੀ ਉਪਭੋਗਤਾ ਪ੍ਰੋਫਾਈਲ ਨੂੰ ਪੂਰਾ ਕਰੋ।","Karya App ஐத் தொடர்ந்து பயன்படுத்த, உங்கள் பயனர் சுயவிவர பட்டியலில் கேட்கப்பட்டுள்ள கேள்விகளுக்கு பதில் அளிக்கவும்.","Karya యాప్‌ని ఉపయోగించడం కొనసాగించడానికి, దయచేసి ఈ ప్రశ్నలకు సమాధానం ఇవ్వడం ద్వారా మీ వినియోగదారుల ప్రొఫైల్‌ను పూర్తి చేయండి.",Karya ऐप के इस्तेमाल जारी राखे खातिर एह सवालन के जवाब देके आपन यूजर प्रोफाइल पूरा करीं.,"Karya Appko jakkalangkuna ong·ode, ka·sapae nang·ni user profile-ko questionrangna aganchake matchotatbo."
name_prompt,What is your name?,আপোনাৰ নাম কি?,আপনার নাম কী?,¿Cuál es su nombre?,આપનું નામ શું છે?,आपका नाम क्या है?,ನಿನ್ನ ಹೆಸರೇನು?,നിങ്ങളുടെ പേര് എന്താണ്?,तुमचे नाव काय आहे?,ଆପଣଙ୍କର ନାମ କ'ଣ?,ਤੁੁਹਾਡਾ ਨਾਮ ਕੀ ਹੈ?,உங்கள் பெயர் என்ன?,మీ పేరు ఏమిటి,राउर नाम का ह ?,Nang·ni bimingko mai minga?
blank_name,Name cannot be blank,নাম খালী থাকিব নোৱাৰে,নাম ফাঁকা রাখবেন না।,El nombre no puede estar en blanco,નામની જગ્યા ખાલી ના હોવી જોઈએ,नाम खाली नहीं हो सकता,ಹೆಸರು ಖಾಲಿ ಇರುವಂತಿಲ್ಲ,പേര് ശൂന്യമായി വിടാൻ കഴിയില്ല,नाव रिक्त असू शकत नाही,ନାମ ଖାଲି ରହିପାରିବ ନାହିଁ,ਨਾਮ ਖਾਲੀ ਨਹੀਂ ਹੋ ਸਕਦਾ,பெயர் காலியாக இருத்தல் கூடாது,పేరు ఖాళీగా ఉండకూడదు,नाम खाली ना होई।,Biming bangbang ong·na man·jawa
age_prompt,What is your year of birth?,আপোনাৰ জন্মবৰ্ষ কোনটো?,আপনার জন্ম সাল কত?,¿Cuál es su año de nacimiento?,આપના જન્મનું વર્ષ કયું છે?,आपका जन्म का वर्ष क्या है?,ನಿಮ್ಮ ಜನ್ಮ ವರ್ಷ ಯಾವುದು?,നിങ്ങളുടെ ജനന വർഷം എന്താണ്?,तुमचे जन्म वर्ष काय आहे?,ଆପଣଙ୍କ ଜନ୍ମ ବର୍ଷ କେତେ?,ਤੁਹਾਡਾ ਜਨਮ ਸਾਲ ਕੀ ਹੈ?,நீங்கள் பிறந்த வருடம்?,మీరు పుట్టిన సంవత్సరం ఏమిటి?,राउर जनम के साल का बा?,Nang·ni atchiani bilsira mai?
invalid_yob,Invalid year of birth,ভুল জন্মৰ বছৰ,ভুল জন্ম সাল,Año de nacimiento inválido,જન્મનું વર્ષ અમાન્ય છે,जन्म का वर्ष गलत है।,ಅಮಾನ್ಯವಾದ ಜನ್ಮ ವರ್ಷ,ജനന വർഷം അസാധുവാണ്,अवैध जन्म वर्ष,ଅବୈଧ ଜନ୍ମ ବର୍ଷ,ਜਨਮ ਦਾ ਸਾਲ ਸਹੀ ਨਹੀਂ ਹੈ।,பிறந்த வருடம் தவறானது,పుట్టిన సంవత్సరం చెల్లదు,जन्म के साल अमान्य बा,Atchiani bilsi tik ong·ja
gender_prompt,What is your gender?,আপোনাৰ লিংগ কি?,আপনার লিঙ্গ কী?,¿Cuál es su género?,આપની જાતિ કઈ છે?,आपका लिंग क्या है?,ನಿಮ್ಮ ಲಿಂಗ ಯಾವುದು?,നിങ്ങളുടെ ജെൻഡർ എന്താണ്?,तुमचे लिंग काय आहे?,ଆପଣଙ୍କର ଲିଙ୍ଗ କ'ଣ?,ਤੁਹਾਡਾ ਲਿੰਗ ਕੀ ਹੈ?,உங்கள் பாலினம்?,మీ లింగం ఏమిటి?,राउर लिंग का बा?,Nang·ni gender maia?
pincode_prompt,What is the pincode of the district where you live?,আপুনি থকা জিলাখনৰ পিনকোড কি?,আপনি যে জেলায় বাস করেন তার পিনকোড কী?,¿Cuál es el código PIN del distrito donde vive?,આપ જ્યાં રહો છો તે શહેરનો પિન કોડ કયો છે?,आप जहां रहते हैं उस जिले का पिन कोड क्या है?,ನೀವು ವಾಸಿಸುವ ಜಿಲ್ಲೆಯ ಪಿನ್‌ಕೋಡ್ ಯಾವುದು?,നിങ്ങൾ താമസിക്കുന്ന ജില്ലയുടെ പിൻകോഡ് എന്താണ്?,तुम्ही राहता त्या जिल्ह्याचा पिनकोड काय आहे?,ଆପଣ ରହୁଥିବା ଜିଲ୍ଲାର ପିନକୋଡ କ'ଣ?,ਤੁਸੀਂ ਜਿੱਥੇ ਰਹਿੰਦੇ ਹੋ ਉਸ ਜ਼ਿਲ੍ਹੇ ਦਾ ਪਿੰਨ ਕੋਡ ਕੀ ਹੈ?,நீங்கள் வசிக்கும் மாவட்டத்தின் அஞ்சல் குறியீடு என்ன?,మీరు నివసించే జిల్లా యొక్క పిన్ కోడ్ ఏమిటి?,जवना जिला में रउरा रहत बानी ओकर पिनकोड का बा?,Nang·ni donggipa biapni district pincode-ara maia?
native_language_prompt,What is the language that you are most comfortable in speaking?,কোনটো ভাষাত আপুনি আটাইতকৈ সহজে কথা ক’ব পাৰে?,আপনি কোন ভাষায় কথা বলতে সবথেকে বেশি স্বাচ্ছন্দ্যবোধ করেন?,¿Cuál es el idioma con el que se siente más cómodo hablando?,તમે કઈ ભાષા બોલવામાં સૌથી વધુ આરામદાયક છો?,वह कौन सी भाषा है जिसे बोलने में आप सबसे अधिक सहज महसूस करते हैं?,ನೀವು ಮಾತನಾಡಲು ಹೆಚ್ಚು ಆರಾಮದಾಯಕವಾದ ಭಾಷೆ ಯಾವುದು?,നിങ്ങൾക്ക് സംസാരിക്കാൻ ഏറ്റവും സൗകര്യപ്രദമായ ഭാഷ ഏതാണ്?,तुम्हाला कोणती भाषा बोलण्यात सर्वात सोयीस्कर आहे?,କେଉଁ ଭାଷା କହିବାକୁ ଆପଣ ସବୁଠାରୁ ସହଜ ମନେ କରନ୍ତି?,ਉਹ ਕਿਹੜੀ ਭਾਸ਼ਾ ਹੈ ਜਿਸਨੂੰ ਤੁਸੀਂ ਬੋਲਣ ਵਿੱਚ ਸਭ ਤੋਂ ਵੱਧ ਆਸਾਨੀ ਮਹਿਸੂਸ ਕਰਦੇ ਹੋ?,நீங்கள் பேசுவதற்கு மிகவும் வசதியாக இருக்கும் மொழி எது?,మీరు ఏ బాషలో అత్యంత సౌకర్యవంతంగా మాట్లాడగలరు?,कवन भाषा बा जवना के बोले में रउरा सबसे बेसी सहज बानी?,Mai ku·sikko na·a aganananio gmikna bate jakkalna namnikbata?
project_code,Project Code,প্ৰজেক্ট ক'ড,প্রজেক্ট কোড,Código de proyecto,પ્રોજેક્ટ કોડ,प्रोजेक्ट कोड,ಯೋಜನೆಯ ಸಂಖ್ಯೆ,പ്രോജക്റ്റ് കോഡ്,प्रोजेक्ट कोड,ଆକ୍ସେସ କୋଡ୍‌,ਪ੍ਰਾਜੈਕਟ ਕੋਡ,திட்டக் குறியீடு,ప్రాజెక్ట్ కోడ్,प्रोजेक्ट कोड,Project code
enter_project_code,Enter Project Code,প্ৰজেক্ট ক'ড প্ৰবিষ্ট কৰক,প্রজেক্ট কোড লিখুন,Ingrese el código del proyecto,પ્રોજેક્ટ કોડ દાખલ કરો,प्रोजेक्ट कोड दर्ज करें,ಯೋಜನೆಯ ಸಂಖ್ಯೆ ನಮೂದಿಸಿ,പ്രോജക്റ്റ് കോഡ് നൽകുക,प्रोजेक्ट कोड एंटर करा,ଆକ୍ସେସ କୋଡ୍‌ ଭରଣ କରନ୍ତୁ,ਪ੍ਰਾਜੈਕਟ ਕੋਡ ਦਾਖਲ ਕਰੋ,திட்டக் குறியீட்டை உள்ளிடவும்,ప్రాజెక్ట్ కోడ్‌ని నమోదు చేయండి,प्रोजेक्ट कोड दर्ज करीं।,Project code-ko gapatbo
